HMDB_ID	MzBank	[M+H]+	[M-H]-	MetName	ChemFormula	INChIkey
HMDB0000001	169.085126611	170.092403011	168.077850211	1-Methylhistidine	C7H11N3O2	BRMWTNUJHUMWMS-LURJTMIESA-N
HMDB0000002	74.08439833	75.09167473	73.07712193	1,3-Diaminopropane	C3H10N2	XFNJVJPLKCPIBV-UHFFFAOYSA-N
HMDB0000005	102.031694058	103.038970458	101.024417658	"2-Ketobutyric acid"	C4H6O3	TYEYBOSBBBHJIV-UHFFFAOYSA-N
HMDB0000008	104.047344122	105.054620522	103.040067722	"2-Hydroxybutyric acid"	C4H8O3	AFENDNXGAFYKQO-UHFFFAOYSA-N
HMDB0000010	300.172544634	301.179821034	299.165268234	2-Methoxyestrone	C19H24O3	WHEUWNKSCXYKBU-QPWUGHHJSA-N
HMDB0000011	104.047344122	105.054620522	103.040067722	"(R)-3-Hydroxybutyric acid"	C4H8O3	WHBMMWSBFZVSSR-GSVOUGTGSA-N
HMDB0000012	228.074621504	229.081897904	227.067345104	Deoxyuridine	C9H12N2O5	MXHRCPNRJAMMIM-SHYZEUOFSA-N
HMDB0000014	227.090605919	228.097882319	226.083329519	Deoxycytidine	C9H13N3O4	CKTSBUTUHBMZGZ-SHYZEUOFSA-N
HMDB0000015	346.214409448	347.221685848	345.207133048	Cortexolone	C21H30O4	WHBHBVVOGNECLV-OBQKJFGGSA-N
HMDB0000016	330.219494826	331.226771226	329.212218426	Deoxycorticosterone	C21H30O3	ZESRJSPZRDMNHY-YFWFAHHUSA-N
HMDB0000017	183.053157781	184.060434181	182.045881381	"4-Pyridoxic acid"	C8H9NO4	HXACOUQIXZGNBF-UHFFFAOYSA-N
HMDB0000019	116.047344122	117.054620522	115.040067722	"alpha-Ketoisovaleric acid"	C5H8O3	QHKABHOOEWYVLI-UHFFFAOYSA-N
HMDB0000020	152.047344122	153.054620522	151.040067722	"p-Hydroxyphenylacetic acid"	C8H8O3	XQXPVVBIMDBYFF-UHFFFAOYSA-N
HMDB0000021	306.970536611	307.977813011	305.963260211	Iodotyrosine	C9H10INO3	UQTZMGFTRHFAAM-ZETCQYMHSA-N
HMDB0000022	167.094628665	168.101905065	166.087352265	3-Methoxytyramine	C9H13NO2	DIVQKHQLANKJQO-UHFFFAOYSA-N
HMDB0000023	104.047344122	105.054620522	103.040067722	"(S)-3-Hydroxyisobutyric acid"	C4H8O3	DBXBTMSZEOQQDU-VKHMYHEASA-N
HMDB0000026	132.053492132	133.060768532	131.046215732	"Ureidopropionic acid"	C4H8N2O3	JSJWCHRYRHKBBW-UHFFFAOYSA-N
HMDB0000027	241.117489371	242.124765771	240.110212971	Tetrahydrobiopterin	C9H15N5O3	FNKQXYHWGSIFBK-UHFFFAOYSA-N
