name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	isotopes	adduct	pcgroup
M50T1066	M50.0152T1066	50.0151689128638	50.0151415574905	50.0151975146727	1066.45038	1030.75902	1097.42736	18	3			228
M50T973	M50.0152T973	50.0151732522914	50.0151549896458	50.0151784864111	972.90162	962.20482	982.53594	5	2			281
M50T1003	M50.0152T1003	50.0151742047318	50.0151640382044	50.015185044221	1003.29498	990.10338	1020.14244	7	2			296
M50T874	M50.0152T874	50.0151652979307	50.0151571888846	50.0151780848916	873.92706	859.62	883.68792	4	1			212
M50T925	M50.0152T925	50.0151726204097	50.015170123207	50.0152017583612	924.51048	914.0811	934.93992	3	1			1709
M52T385	M51.9683T385	51.9682867512469	51.9682867512469	51.9682867512469	385.269162	385.269162	385.269162	1	1			1383
M53T428	M52.5023T428	52.5023111185945	52.5023016439959	52.5023169059499	427.571604	423.311844	430.799652	3	2			942
M53T444	M52.9043T444	52.9043193922077	52.9043142292445	52.9043245551708	444.291111	440.51343	448.068792	2	2			905
M55T389	M55.0176T389	55.0175672234031	55.0172105615835	55.0179238852228	389.01309	389.01309	389.01309	2	1		[M-H-C6H10O5]- 218.078	6
M55T80	M55.054T80	55.0540130036888	55.0536107289654	55.0544152784123	79.933188	76.67304	83.193336	2	2			31
M56T1673	M56.0503T1673	56.050251725008	56.0502407889318	56.0502566096194	1672.61988	1656.5547	1692.67644	9	3			152
M56T1504	M56.0503T1504	56.0502511258993	56.0502263129881	56.0502587071124	1504.00989	1478.71506	1516.73598	8	3			161
M56T1718	M56.0503T1718	56.0502500054262	56.0502356871728	56.0502618598816	1717.53138	1709.89188	1739.72262	7	3			137
M56T1350	M56.0503T1350	56.0502528701952	56.0502361189929	56.0502554496775	1350.35523	1325.36454	1391.1654	10	3			170
M56T1580	M56.0503T1580	56.0502507040818	56.0502445220153	56.0502588043737	1580.1417	1560.32562	1611.62796	9	3			162
M56T1538	M56.0502T1538	56.0502460222379	56.0502264922459	56.0502580800091	1537.58469	1530.37446	1544.8152	4	3			153
M56T1419	M56.0503T1419	56.0502533942192	56.0502427805819	56.0502573752258	1419.38247	1409.6175	1432.10142	4	3			176
M56T1633	M56.0502T1633	56.050243046033	56.050242956797	56.0502452169915	1632.74736	1626.51042	1639.34658	3	2			147
M56T1452	M56.0502T1452	56.0502448845204	56.0502362153905	56.0502482311675	1451.60718	1440.37548	1454.87712	3	2			167
M56T11	M56.0502T11	56.050244609568	56.0502278494098	56.0502447141664	10.616022	9.0184182	17.402448	3	3			1827
M56T1289	M56.0503T1289	56.0502532675911	56.0502385118827	56.0502575212249	1289.41554	1265.86362	1304.69322	4	2			82
M56T1158	M56.0502T1158	56.0502460099343	56.0502348073489	56.0502572125197	1157.94438	1157.06964	1158.81912	2	2			2061
M56T1230	M56.0503T1230	56.050255447679	56.0502531448617	56.0502577504963	1230.34833	1227.5415	1233.15516	2	2			182
M56T103	M56.0502T103	56.0502357604622	56.0502357604622	56.0502357604622	102.517362	102.517362	102.517362	1	1			473
M56T145	M56.0503T145	56.0502523562799	56.0502523562799	56.0502523562799	145.030722	145.030722	145.030722	1	1			397
M56T390	M56.0503T390	56.0502576658449	56.0502576658449	56.0502576658449	389.879226	389.879226	389.879226	1	1			564
M57T1041	M56.9655T1041	56.9655181761407	56.9655022250641	56.9655297141546	1040.79834	1015.92816	1084.03092	7	1			245
M57T211	M57.0338T211	57.0337725102976	57.0337725102976	57.0337725102976	210.960246	210.960246	210.960246	1	1			12
M57T75	M57.0691T75	57.0691373012724	57.0691373012724	57.0691373012724	74.719092	74.719092	74.719092	1	1		[M-H-C5H8O4]- 190.119	44
M57T1025	M57.0704T1025	57.0704228378961	57.0703953589441	57.0704632527274	1024.92657	994.88148	1058.79504	22	3			289
M57T968	M57.0704T968	57.0704157968351	57.070400031567	57.0704329246261	968.27574	952.27416	984.14046	7	3			216
M57T938	M57.0704T938	57.0704230271545	57.0703670811494	57.070432871535	938.1459	931.42314	943.18968	4	2			242
M58T377	M58.0654T377	58.0653599091558	58.0653567834051	58.0653630349064	377.182401	376.176846	378.187956	2	2			2
M58T281	M58.0654T281	58.0653643030808	58.0653643030808	58.0653643030808	281.478726	281.478726	281.478726	1	1		[M-H-C6H10O4]- 205.13	4
M59T426	M58.6395T426	58.6395418579068	58.6395418579068	58.6395418579068	426.145338	426.145338	426.145338	1	1			943
M59T864	M59.0611T864	59.0610987064628	59.0610796835505	59.0611102141415	863.59416	856.90866	864.03162	5	4			80
M59T339	M59.0611T339	59.0610952748626	59.0610952748626	59.0610952748626	338.960166	338.960166	338.960166	1	1		[M+Cl]- 24.0918	2018
M59T309	M59.0684T309	59.0684039129662	59.0683960253857	59.0684096978395	308.885097	307.516632	309.74196	4	4		[M+Cl]- 24.0989 [M-H]- 60.0756	47
M59T278	M59.0731T278	59.073083026196	59.0730780207858	59.0730880316063	278.002245	274.25835	281.74614	2	1			143
M59T375	M59.0732T375	59.0731594091871	59.0731594091871	59.0731594091871	374.839752	374.839752	374.839752	1	1			1384
M60T156	M59.752T156	59.7519875559502	59.7519875559502	59.7519875559502	155.664414	155.664414	155.664414	1	1			1593
M60T1120	M60.0451T1120	60.0451182700133	60.0451057367576	60.0451277070004	1119.62328	1089.28104	1120.13274	7	5			130
M60T912	M60.0451T912	60.0451236107146	60.0451081539338	60.045138817771	912.33978	898.93344	935.02842	7	4			110
M60T990	M60.0451T990	60.0451269354879	60.0451137835238	60.0451350957279	989.72088	958.70004	1011.77214	7	3			116
M60T1051	M60.0451T1051	60.0451215854929	60.0451130143791	60.0451287630594	1051.34382	1045.07706	1057.64586	3	2			117
M60T418	M60.0451T418	60.0451195734508	60.0451156000711	60.0451235468306	418.131525	416.706318	419.556732	2	2		[M+Cl]- 25.0755 [M-H]- 61.0523	18
M60T386	M60.0573T386	60.0572785648778	60.0572761786628	60.0572963058113	386.300778	384.36219	388.809546	3	3			40
M60T251	M60.0573T251	60.0573185017092	60.0573002659765	60.0573367374419	251.475258	250.542672	252.407844	2	2			33
M60T442	M60.0635T442	60.0635366442163	60.063527961204	60.0635453272286	441.926781	441.918108	441.935454	2	2			906
M61T1120	M61.0404T1120	61.0403604482688	61.0403555975369	61.0403634877952	1119.82887	1119.4371	1119.99522	4	4			130
M61T378	M61.0841T378	61.0841286342998	61.084118296113	61.0841389724866	378.062805	377.92053	378.20508	2	2			376
M62T95	M62.0244T95	62.0243903285431	62.0243903285431	62.0243903285431	95.412288	95.412288	95.412288	1	1			1674
M62T245	M62.0374T245	62.0373813620264	62.0373813620264	62.0373813620264	244.926822	244.926822	244.926822	1	1			2041
M62T244	M62.0437T244	62.0437134940978	62.0437134940978	62.0437134940978	243.589716	243.589716	243.589716	1	1			1989
M62T364	M62.0608T364	62.0607644035065	62.0607644035065	62.0607644035065	364.118766	364.118766	364.118766	1	1			1771
M62T378	M62.0919T378	62.0918777404274	62.0918723643992	62.0918831164556	378.062799	377.670228	378.45537	2	2			377
M62T311	M62.0989T311	62.0988555167859	62.0988544200117	62.0988566135601	310.757034	310.36569	311.148378	2	2			1178
M63T888	M62.9824T888	62.9824271585759	62.9824194553935	62.9824348617582	888.00021	887.53608	888.46434	2	2			13
M63T416	M63.0488T416	63.0488453869571	63.0488250920099	63.0488508704045	415.988283	413.149866	419.556732	4	4			18
M63T378	M63.1003T378	63.1003043676543	63.1002943892251	63.1003143460836	378.196515	377.93766	378.45537	2	2			378
M64T133	M63.9984T133	63.9984465545816	63.9984465545816	63.9984465545816	132.6408	132.6408	132.6408	1	1			977
M64T292	M64.103T292	64.103008916729	64.1030080107546	64.1030098227034	291.683049	290.850066	292.516032	2	2			23
M65T366	M65.0645T366	65.0644817515683	65.0644817515683	65.0644817515683	366.083022	366.083022	366.083022	1	1			109
M65T282	M65.1098T282	65.109750286908	65.109750286908	65.109750286908	282.18456	282.18456	282.18456	1	1			426
M66T283	M66.116T283	66.1160228984557	66.1160206846405	66.1160251122708	282.639687	282.559992	282.719382	2	2	[1][M]-		421
M67T76	M67.0549T76	67.054885926591	67.0548749702959	67.0549082883793	75.632184	75.253944	89.10576	5	4			44
M67T283	M67.1193T283	67.1193457547715	67.1193436173271	67.1193478922158	282.639687	282.559992	282.719382	2	2	[1][M+1]-		421
M68T283	M68.1301T283	68.1300914152643	68.1300871767849	68.1300956537437	282.639687	282.559992	282.719382	2	2	[2][M]-		422
M69T139	M69.0454T139	69.0453540315515	69.0453441766131	69.0453677306147	138.838062	137.747202	139.089036	3	3			84
M69T97	M69.0705T97	69.0705073927039	69.0705004430992	69.0705211256771	96.526635	96.214542	96.817668	4	4	[3][M]-		467
M69T283	M69.1334T283	69.1334223622644	69.1334223622644	69.1334223622644	282.719382	282.719382	282.719382	1	1	[2][M+1]-		422
M69T202	M69.1379T202	69.1379041829985	69.1379020219852	69.1379063440118	201.64677	201.435294	201.858246	2	2			1934
M69T477	M69.1379T477	69.1379350810701	69.1379312345717	69.1379389275686	476.825211	476.432748	477.217674	2	2			16
M70T1128	M70.0658T1128	70.0657689194732	70.0657462675251	70.0657897307768	1128.15534	1127.37846	1129.06428	5	5	[4][M]-		78
M70T1733	M70.0658T1733	70.065783570384	70.0657507231854	70.0657984525567	1733.1621	1725.24114	1739.29116	3	3			100
M70T351	M70.0658T351	70.0657885097511	70.065788100899	70.0657889186031	351.149442	351.016314	351.28257	2	2			766
M70T415	M70.0657T415	70.0657371838304	70.0657331254657	70.065741242195	415.394505	409.778664	421.010346	2	1			923
M70T385	M70.0657T385	70.0657178361244	70.0657178361244	70.0657178361244	384.73434	384.73434	384.73434	1	1			1385
M70T534	M70.0658T534	70.0657860514482	70.0657860514482	70.0657860514482	534.231816	534.231816	534.231816	1	1			1681
M70T468	M70.0658T468	70.065783308266	70.065783308266	70.065783308266	467.994228	467.994228	467.994228	1	1			1153
M70T570	M70.0657T570	70.065732869412	70.065732869412	70.065732869412	569.531388	569.531388	569.531388	1	1			115
M70T651	M70.0657T651	70.0657345980629	70.0657345980629	70.0657345980629	650.66286	650.66286	650.66286	1	1			88
M70T96	M70.0739T96	70.0738695581078	70.0738695581078	70.0738695581078	96.214542	96.214542	96.214542	1	1	[3][M+1]-		474
M71T169	M71.0491T169	71.049066620745	71.049066620745	71.049066620745	169.302888	169.302888	169.302888	1	1			1
M71T1127	M71.0691T1127	71.069108081751	71.0690817458435	71.0691267877958	1127.02962	1126.6575	1129.21206	4	4	[4][M+1]-		1853
M71T352	M71.0691T352	71.0691158992374	71.0691158992374	71.0691158992374	351.551178	351.551178	351.551178	1	1			767
M73T73	M73.0456T73	73.0455643913735	73.045562128592	73.0455853446681	73.22541	72.61992	74.286582	3	3			87
M73T72	M73.0471T72	73.0471057853067	73.0467993486106	73.0474122220029	72.387813	72.352476	72.42315	2	2			87
M73T90	M73.0654T90	73.0654128571147	73.0653627829759	73.0654232864959	89.707932	73.484334	89.908026	5	5			638
M73T351	M73.0758T351	73.0758054778323	73.0758049294126	73.075806026252	351.271329	351.013704	351.528954	2	2		[M+Cl]- 38.1062 [M-H]- 74.083	15
M73T1072	M73.0884T1072	73.0884310266	73.0884136134432	73.0884781779786	1071.64164	1048.01868	1118.90226	13	2			282
M73T1023	M73.0884T1023	73.0884400674656	73.0884259862645	73.0884552800548	1022.8167	1005.43434	1036.7226	7	2			273
M73T987	M73.0884T987	73.0884414404551	73.0884176835804	73.0884686816262	986.51184	973.94304	990.25572	5	2			276
M73T933	M73.0884T933	73.0884301953793	73.0884089254237	73.0884409359928	932.80056	906.77376	949.64802	5	1			275
M74T474	M74.0243T474	74.0242529718314	74.0242516720773	74.0242542715855	473.708031	473.474598	473.941464	2	2			811
M74T386	M74.0607T386	74.0606510629731	74.0606472631795	74.0606548627668	385.9173	383.559906	388.274694	2	2		[M+Cl]- 39.0911 [M-H]- 75.0678	40
M74T352	M74.0728T352	74.0728158379142	74.0728121501212	74.0728195257073	351.818004	351.817416	351.818592	2	2			15
M74T351	M74.0791T351	74.0790961749934	74.0790949635507	74.0790973864361	351.137601	350.72667	351.548532	2	2		[M+Cl]- 39.1096 [M-H]- 75.0863	15
M74T350	M74.0859T350	74.0858524985003	74.0858524985003	74.0858524985003	350.211438	350.211438	350.211438	1	1			768
M74T255	M74.0872T255	74.0872363258121	74.0872333462177	74.0872473235001	255.082068	253.321434	255.369516	3	3			120
M75T388	M75.064T388	75.0639816924477	75.0639816924477	75.0639816924477	388.274694	388.274694	388.274694	1	1			565
M75T351	M75.0762T351	75.0761622950548	75.0761600242404	75.0761692629369	351.283149	350.99409	351.548532	4	4			15
M75T89	M75.4361T89	75.4360996621455	75.4360996621455	75.4360996621455	88.541748	88.541748	88.541748	1	1			8
M76T431	M76.0399T431	76.0398571862837	76.0398463973896	76.0398679751779	431.005971	430.250766	431.761176	2	2			1834
M76T123	M76.0399T123	76.039874777338	76.039874777338	76.039874777338	122.746242	122.746242	122.746242	1	1			1282
M76T282	M76.0762T282	76.0762031213714	76.0762031213714	76.0762031213714	281.840256	281.840256	281.840256	1	1			427
M76T310	M76.0885T310	76.0884586930666	76.0884524724979	76.0884700624256	309.642906	308.49375	310.993086	4	4			47
M76T309	M76.0948T309	76.094761171358	76.094758044536	76.0947749514692	308.573223	307.424064	309.38856	4	4		[M+Cl+NH3]- 24.0989 [M-H+NH3]- 60.0756	47
M77T473	M77.0279T473	77.0279433404177	77.0278999765349	77.0279928636142	472.67193	470.01465	473.674044	4	4			793
M77T891	M77.037T891	77.0370310862958	77.0370090477224	77.0370487632229	890.85585	867.37524	905.43672	8	2			726
M77T385	M77.0643T385	77.0643004737708	77.0643004737708	77.0643004737708	384.629598	384.629598	384.629598	1	1			1375
M77T310_1	M77.0918T310_1	77.0917945714463	77.0917308914688	77.0918061551598	309.509202	307.958928	310.458258	4	4		[M+Cl]- 42.1222 [M-H]- 78.0989	47
M77T442	M77.098T442	77.0979859103264	77.0979772371855	77.0979945834673	441.793071	441.133176	442.452966	2	2			17
M77T310_2	M77.0997T310_2	77.0997371307372	77.0997371307372	77.0997371307372	310.09827	310.09827	310.09827	1	1			1529
M78T937	M78.0419T937	78.0419407217094	78.0418961491262	78.0419601793942	936.72006	905.97222	965.06664	9	1			261
M78T1041	M78.0419T1041	78.0419441006227	78.0418632110976	78.0419480322184	1040.87358	1023.00384	1064.53452	6	1			2154
M78T991	M78.0419T991	78.0419300078565	78.0419172391799	78.0419620415314	991.44816	976.83318	1009.36536	5	1			2001
M78T1104	M78.0419T1104	78.0419076756811	78.0418899173289	78.0419139039997	1104.38028	1088.86986	1116.94902	4	1			1968
M78T429	M78.0465T429	78.0465270714492	78.0465226366362	78.0465315062622	428.784501	427.85802	429.710982	2	2			944
M78T304	M78.0465T304	78.0465171867989	78.0465171867989	78.0465171867989	304.126194	304.126194	304.126194	1	1			77
M78T386	M78.0677T386	78.0676536961234	78.0676390442364	78.0677194674805	385.866324	384.623208	388.542132	4	4		[M+Cl]- 43.0981 [M-H]- 79.0748	40
M79T478	M78.9845T478	78.9845239163601	78.9845239163601	78.9845239163601	477.753336	477.753336	477.753336	1	1			812
M79T132_1	M79.0218T132_1	79.0217571925336	79.0217545771483	79.0217598079189	132.467235	132.29367	132.6408	2	2			978
M79T431	M79.0436T431	79.0436173162214	79.043602781053	79.0436265911526	430.694448	428.660274	432.296028	4	4			75
M79T76	M79.0548T76	79.0547911862716	79.0547745614206	79.0548020821039	75.761646	74.451684	76.096398	4	4		[2M-3H]3- 120.093	44
M79T151	M79.0548T151	79.0547834118643	79.0547771513744	79.0547896723543	150.970164	150.407982	151.532346	2	2		[M-H-C2H4]- 108.093	26
M79T132_2	M79.0787T132_2	79.0786839659454	79.0786839659454	79.0786839659454	131.838552	131.838552	131.838552	1	1			979
M79T310	M79.1252T310	79.1252034825496	79.1252002361098	79.1252067289894	310.222194	309.83085	310.613538	2	2			1530
M80T105_1	M79.9923T105_1	79.9922684477735	79.9919524775495	79.9925844179974	105.051846	104.529402	105.57429	2	2			1655
